ID,PadreID,Valor,Tipo
0,-1,PROGRAM,non-terminal
1,0,DECLARATION,non-terminal
2,1,FUNCTION,non-terminal
3,2,TYPE,non-terminal
5,3,integer,terminal
8,2,a,terminal
10,1,VAR_DECL,non-terminal
11,10,;,terminal
13,0,DECLARATION,non-terminal
14,13,FUNCTION,non-terminal
15,14,TYPE,non-terminal
19,15,char,terminal
22,14,k,terminal
24,13,VAR_DECL,non-terminal
25,24,=,terminal
39,24,',terminal
40,24,b,terminal
41,24,',terminal
53,24,;,terminal
55,0,DECLARATION,non-terminal
56,55,FUNCTION,non-terminal
57,56,TYPE,non-terminal
61,57,char,terminal
64,56,k,terminal
66,55,VAR_DECL,non-terminal
67,66,=,terminal
81,66,',terminal
82,66,x,terminal
83,66,',terminal
95,66,;,terminal
97,0,DECLARATION,non-terminal
98,97,FUNCTION,non-terminal
99,98,TYPE,non-terminal
103,99,char,terminal
106,98,hola,terminal
108,97,VAR_DECL,non-terminal
109,108,=,terminal
123,108,',terminal
124,108, ,terminal
125,108,',terminal
137,108,;,terminal
139,0,DECLARATION,non-terminal
140,139,FUNCTION,non-terminal
141,140,TYPE,non-terminal
146,141,string,terminal
149,140,q,terminal
151,139,VAR_DECL,non-terminal
152,151,=,terminal
168,151,hola,terminal
181,151,;,terminal
183,0,DECLARATION,non-terminal
184,183,FUNCTION,non-terminal
185,184,TYPE,non-terminal
188,185,boolean,terminal
191,184,r,terminal
193,183,VAR_DECL,non-terminal
194,193,=,terminal
210,193,true,terminal
222,193,;,terminal
224,0,DECLARATION,non-terminal
225,224,FUNCTION,non-terminal
226,225,TYPE,non-terminal
229,226,boolean,terminal
232,225,w,terminal
234,224,VAR_DECL,non-terminal
235,234,=,terminal
251,234,false,terminal
263,234,;,terminal
265,0,DECLARATION,non-terminal
266,265,FUNCTION,non-terminal
267,266,TYPE,non-terminal
270,267,boolean,terminal
273,266,a,terminal
275,265,VAR_DECL,non-terminal
276,275,=,terminal
289,275,123,terminal
301,275,;,terminal
303,0,DECLARATION,non-terminal
304,303,FUNCTION,non-terminal
305,304,TYPE,non-terminal
309,305,char,terminal
312,304,_Caracter,terminal
314,303,VAR_DECL,non-terminal
315,314,=,terminal
329,314,',terminal
330,314,w,terminal
331,314,',terminal
343,314,;,terminal
345,0,DECLARATION,non-terminal
346,345,FUNCTION,non-terminal
347,346,TYPE,non-terminal
353,347,void,terminal
356,346,printarray,terminal
358,345,(,terminal
361,345,integer,terminal
363,345,[,terminal
364,345,],terminal
367,345,a,terminal
372,345,integer,terminal
375,345,size,terminal
377,345,),terminal
378,345,{,terminal
381,345,FUNCTION,non-terminal
382,381,TYPE,non-terminal
384,382,integer,terminal
387,381,i,terminal
388,345,VAR_DECL,non-terminal
389,388,;,terminal
400,345,FOR_STMT,non-terminal
401,400,for,terminal
402,400,(,terminal
406,400,i,terminal
407,400,=,terminal
420,400,0,terminal
432,400,;,terminal
445,400,i,terminal
453,400,<,terminal
459,400,size,terminal
471,400,;,terminal
475,400,i,terminal
476,400,=,terminal
489,400,i,terminal
495,400,+,terminal
501,400,1,terminal
513,400,;,terminal
514,400,),terminal
515,400,{,terminal
544,400,PRINT_STMT,non-terminal
545,544,print,terminal
546,544,(,terminal
560,544,a,terminal
562,544,[,terminal
575,544,i,terminal
587,544,],terminal
617,544,\n,terminal
631,544,),terminal
632,544,;,terminal
661,400,PRINT_STMT,non-terminal
662,661,print,terminal
663,661,(,terminal
677,661,a,terminal
679,661,[,terminal
692,661,i,terminal
704,661,],terminal
734,661,\n,terminal
748,661,),terminal
749,661,;,terminal
779,400,},terminal
809,345,},terminal
811,0,DECLARATION,non-terminal
812,811,FUNCTION,non-terminal
813,812,TYPE,non-terminal
815,813,integer,terminal
818,812,sum,terminal
820,811,(,terminal
823,811,integer,terminal
826,811,a,terminal
831,811,integer,terminal
834,811,b,terminal
836,811,),terminal
837,811,{,terminal
849,811,RETURN_STMT,non-terminal
850,849,return,terminal
863,849,a,terminal
869,849,+,terminal
874,849,b,terminal
886,849,;,terminal
916,811,},terminal
918,0,DECLARATION,non-terminal
919,918,FUNCTION,non-terminal
920,919,TYPE,non-terminal
923,920,boolean,terminal
926,919,isEven,terminal
928,918,(,terminal
931,918,integer,terminal
934,918,a,terminal
936,918,),terminal
937,918,{,terminal
947,918,IF_STMT,non-terminal
948,947,if,terminal
949,947,(,terminal
962,947,a,terminal
966,947,%,terminal
971,947,2,terminal
1000,947,),terminal
1001,947,{,terminal
1013,947,RETURN_STMT,non-terminal
1014,1013,return,terminal
1030,1013,true,terminal
1042,1013,;,terminal
1054,947,RETURN_STMT,non-terminal
1055,1054,return,terminal
1071,1054,true,terminal
1083,1054,;,terminal
1113,947,},terminal
1144,918,},terminal
1146,0,DECLARATION,non-terminal
1147,1146,FUNCTION,non-terminal
1148,1147,TYPE,non-terminal
1153,1148,string,terminal
1156,1147,less,terminal
1158,1146,(,terminal
1164,1146,string,terminal
1167,1146,a,terminal
1175,1146,string,terminal
1178,1146,b,terminal
1180,1146,),terminal
1181,1146,{,terminal
1184,1146,FUNCTION,non-terminal
1185,1184,TYPE,non-terminal
1187,1185,integer,terminal
1190,1184,c,terminal
1191,1146,VAR_DECL,non-terminal
1192,1191,=,terminal
1205,1191,sum,terminal
1207,1191,(,terminal
1218,1191,-,terminal
1223,1191,1,terminal
1250,1191,2,terminal
1263,1191,),terminal
1275,1191,;,terminal
